Episode no = 720; won: False; Q(s,a) = 35.86473616138603; reward = -479.0; and epsilon = 0.904, win percentage = 0.0, 2022-05-01 19:40:07
Episode no = 730; won: False; Q(s,a) = 45.86449688883366; reward = -408.0; and epsilon = 0.9026666666666667, win percentage = 0.0, 2022-05-01 19:40:10
Episode no = 740; won: False; Q(s,a) = 46.77772518227917; reward = -393.0; and epsilon = 0.9013333333333333, win percentage = 0.0, 2022-05-01 19:40:14
Episode no = 750; won: False; Q(s,a) = nan; reward = -475.0; and epsilon = 0.9, win percentage = 0.0, 2022-05-01 19:40:18
Episode no = 760; won: False; Q(s,a) = 48.908777995669546; reward = -466.0; and epsilon = 0.8986666666666667, win percentage = 0.0, 2022-05-01 19:40:24
Episode no = 770; won: False; Q(s,a) = 49.08194166996029; reward = -466.0; and epsilon = 0.8973333333333333, win percentage = 0.0, 2022-05-01 19:40:27
Episode no = 780; won: False; Q(s,a) = 50.395169436394454; reward = -480.0; and epsilon = 0.896, win percentage = 0.0, 2022-05-01 19:40:30
Episode no = 790; won: False; Q(s,a) = 49.581903028766405; reward = -466.0; and epsilon = 0.8946666666666667, win percentage = 0.0, 2022-05-01 19:40:34
Episode no = 800; won: False; Q(s,a) = 51.52542634883493; reward = -432.0; and epsilon = 0.8933333333333333, win percentage = 0.0, 2022-05-01 19:40:37
Episode no = 810; won: False; Q(s,a) = 54.77867477521415; reward = -363.0; and epsilon = 0.892, win percentage = 0.0, 2022-05-01 19:40:41
Episode no = 820; won: False; Q(s,a) = 38.916227228821676; reward = -384.0; and epsilon = 0.8906666666666667, win percentage = 0.0, 2022-05-01 19:40:46
Episode no = 830; won: False; Q(s,a) = 54.237940782463234; reward = -312.0; and epsilon = 0.8893333333333333, win percentage = 0.0, 2022-05-01 19:40:52
Episode no = 840; won: False; Q(s,a) = 55.28036992872868; reward = -443.0; and epsilon = 0.888, win percentage = 0.0, 2022-05-01 19:40:57
Episode no = 850; won: False; Q(s,a) = 56.02103646252691; reward = -434.0; and epsilon = 0.8866666666666667, win percentage = 0.0, 2022-05-01 19:41:00
Episode no = 860; won: False; Q(s,a) = nan; reward = -463.0; and epsilon = 0.8853333333333333, win percentage = 0.0, 2022-05-01 19:41:04
Episode no = 870; won: False; Q(s,a) = 51.498468860412956; reward = -462.0; and epsilon = 0.884, win percentage = 0.0, 2022-05-01 19:41:08
Episode no = 880; won: False; Q(s,a) = 55.83755909583551; reward = -410.0; and epsilon = 0.8826666666666667, win percentage = 0.0, 2022-05-01 19:41:10
Episode no = 890; won: False; Q(s,a) = 58.10603109341638; reward = -427.0; and epsilon = 0.8813333333333333, win percentage = 0.0, 2022-05-01 19:41:15
Episode no = 900; won: False; Q(s,a) = 53.066063872321564; reward = -438.0; and epsilon = 0.88, win percentage = 0.0, 2022-05-01 19:41:19
Episode no = 910; won: False; Q(s,a) = 64.67515490573199; reward = -480.0; and epsilon = 0.8786666666666667, win percentage = 0.0, 2022-05-01 19:41:22
Episode no = 920; won: False; Q(s,a) = 53.27202147899847; reward = -429.0; and epsilon = 0.8773333333333333, win percentage = 0.0, 2022-05-01 19:41:25
Episode no = 930; won: False; Q(s,a) = 65.78711982926413; reward = -439.0; and epsilon = 0.876, win percentage = 0.0, 2022-05-01 19:41:27
Episode no = 940; won: False; Q(s,a) = 62.703034611597026; reward = -454.0; and epsilon = 0.8746666666666667, win percentage = 0.0, 2022-05-01 19:41:30
